text,label
Spoke with WJ ahead of pump tests as to how to will minimise any disturbance to river bed at discharge point,Good Practice
Carbon reporting process shared with Headland ,Good Practice
Paper towels removed from toilet blocks to save on waste,Good Practice
Grahams team have updated and clarified the ecological constraints maps that we originally produced ,Good Practice
Contractor drilling team standing for 2 hours whilst waiting for supervisor to send liner design,Hazard
Machine tracked over the archaeological area twice,Hazard
No fire extinguisher next to diesel coshh container. In event of fire operatives would need to navigate small gap between generator and coshh container to get to the fire extinguishers,Hazard
Impact driver with no ball on the socket was sent back to Speedy a replacement is being sent,Good Practice
CTRM 11190: Are alarms tested and fire extinguishers inspected and serviced? Are statutory records maintained?,Good Practice
Changing rooms have old PPE left by former subcontractors and employees,Hazard
A delivery from sunbelt rentals turned up at 14 :20 the driver did not have the correct PPE ,Hazard
Lynch were called when their forklift for subcontractor was not working and a fitter was called out,Good Practice
ECoW present ahead of all vegetation clearance at EMA 18 and Arch 30,Good Practice
Refill of water daily - ran out on site,Hazard
Plug socket back box broken in Headland welfare cabin,Hazard
T&M plant sent their supervisor to site to train a driver,Good Practice
Waste water in the bathroom is full,Hazard
Sunbelt rental bowser has been delivered to site without chapter 8 markings so can’t go onto site,Hazard
I have had to close the pedestrian gate for the second time while the  fuel area was being filled. Maybe we need some clarification as to whom is responsible. ,Hazard
"Subcontractor not signing out instead, they are phone in security to sign out",Hazard
Gas delivery driver did not have correct PPE and one of the light bulbs was burned,Hazard
All subcontractors were ready for an early briefing before 7am,Good Practice
GAP welfare unit in Sherwood not starting up ,Hazard
subcontractors wearing orange ppe,Hazard
GAP fitter arrived safe day after call out as the welfare unit at Sherwood would not start up ,Good Practice
"Due to lack of a scraper, operatives had to remove mud from boots against the bottom of railings around the welfare.",Good Practice
Cabin battery does not work - all electrical implements do not work including kettle microwave and hot water,Hazard
8m buffer demarcated next to ditch - avoids need for permit,Good Practice
Soil removed from ditch where it had previously fallen in,Good Practice
Small amount of soil had fallen into a dry ditch by the welfare after ground had been made safe after railfall,Hazard
Poor ground conditions in Sherwood's archaeology area,Hazard
PPE requirements - woollen hats being worn under helmet - during the engagement a person was asked to remove it and advised that if they need something under the helmet to speak to Headlands about additional PPE.,Hazard
Designated smoking area sign installed at the Headland compound,Good Practice
Good clean site with work,Good Practice
Nitrous oxide canister handed to site security was disposed of ,Good Practice
Work downstream from our site was brought to my attention to doubt check we were not involved.,Good Practice
Subcontractor operative came to site with no chin strap on his helmet ,Hazard
"Seatbelt beacon on O’brien’s excavator is green, A12 site rules is orange beacon",Hazard
AdBlue drum recycled into a filter for fish pond,Good Practice
Subcontractor skip delivery driver did not have the correct PPE,Hazard
Heavy rainfall over night making access to WJ’s compound in siggers difficult,Hazard
Extra mats laid on track in siggers to allow WJ’s rigid wagon access ,Good Practice
Machine tracked over the archaeological area twice,Hazard
Supervisor made aware that 2 hours is not acceptable for the drilling team to be standing,Good Practice
Contractor drilling team standing for 2 hours whilst waiting for supervisor to send liner design,Hazard
Aerosols not being crushed and recycled,Hazard
Grahams team have updated and clarified the ecological constraints maps that we originally produced ,Good Practice
Dashboard created for temp works,Good Practice
New HVO tank delivered which gives us data and info regarding our levels of fuel,Good Practice
Water bowser delivery driver came prepared to visit site this time in full PPE,Good Practice
Senior SHE issued a chin strap for subcontractors helmet who turned up without one ,Good Practice
8m environmental exclusion zone visibly marked out on site,Good Practice
Paper towels removed from toilet blocks to save on waste,Good Practice
Spoke with WJ ahead of pump tests as to how to will minimise any disturbance to river bed at discharge point,Good Practice
Costain provided shovels for the archaeology works - as the tools brought to site were not insulated,Good Practice
Subcontractor operative came to site with no chin strap on his helmet ,Hazard
"Seatbelt beacon on O’brien’s excavator is green, A12 site rules is orange beacon",Hazard
Beacon on O'Briens excavator is green instead of orange< O'Briens aware and will send fitter to change to orange,Good Practice
AdBlue drum recycled into a filter for fish pond,Good Practice
All information for each of our work sites is being condensed onto a pdf which is accessible to anyone via QR code rather than printing ,Good Practice
Archaeologists not made aware to bring insulated shovels for their metal detecting works,Hazard
"Seatbelt beacon on O’brien’s excavator is green, A12 site rules is orange beacon",Hazard
"CTRM 11190: Are Fire Wardens trained, appointed and listed on the competency board and the emergency response plan? Check training records",Hazard
CTRM 11190: Are all contract/ office personnel instructed in fire awareness and the use of provided fire equipment and emergency procedures? Check training records,Hazard
2 people from national highways came to site without highways passports and seemed to be a bit rude when asked to sign in ,Hazard
Refill of water daily - ran out on site,Hazard
Lynch fitter called to deliver a missing pin on forklift bracket and was on site within the hour ,Good Practice
Gate finally added to ecology area 18,Good Practice
Impact driver with no ball on the socket was sent back to Speedy a replacement is being sent,Good Practice
Pictures have been taken of the plastic clips on the track mats blocking the bolts making the mats unusable,Good Practice
Carbon reporting process shared with Headland ,Good Practice
Extra matting has been laid around the borehole positions at Siggers to avoid slips trips and falls,Good Practice
Extremely poor weather making ground conditions poor in siggers ,Hazard
Pool of water underneath urinal in mens toilet from overflow of flush ,Hazard
"Electrical Extension lead in the way of staff passage way, someone could trip and fall",Hazard
"Some thicker vegetation cannot be cut off with grass  strimmer, manual hedge cutter is broken - new one is requied",Hazard
"Some thicker vegetation cannot be cut off with grass  strimmer, manual hedge cutter is broken - new one is requied",Hazard
Whilec monitoring the CCTV on WJ groundwater sites waste driver not wearing correct PPE plus didn't sign in with security before Starting work,Hazard
T&M bowser driver has not been trained up on how to use the welfare bowser,Hazard
While doing patrolling inside the meeting room very stinking like dead rat dead smells coming out. I had checked everywhere but couldn’t find anything ,Good Practice
Was able to walk to area 30 instead of using a site vehicle ,Good Practice
Healdlands operative working on area 30 overages wearing a beanie hat underneath hard hat. Operative asked to swap for an approved Ppe one or remove as hard hat doesn’t sit properly on head,Hazard
Subcontractor engineer stopped from working after being found on-site - not signed in at security nor had an SOS briefing,Good Practice
Great to see we are utilising solar technology to power our security rig,Good Practice
Archaeology black hat supervisor plant segregated by barrier and at least 30m away.,Good Practice
Archaeology team happy that the welfare is close to works area ,Good Practice
Soil engineering engineer on site without coming to the compound to sign in and receive SOS briefiung,Hazard
