text,predicted_label
"The team installed lighting on top of the retaining wall on the edge protection. 
Wingate also, assisted with the Keller's welding team for SCS east staircase work to be undertaken.
Completed the cable pull for MDA on site.

 ",Hazard
"Formwork is generally good
-	Pre-Pour survey done. – Level and shutter survey
-	Volume calculated is 225 M3 but bring 220 M3
",Hazard
"SOS briefing, briefing sheet attached.",Hazard
BSL Powerpack trips again in addition to BSL Generator. All electrics within the shaft down including lighting. ,Hazard
Lunch for everyone,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
MPD started cleaning the slurry using shovel and dismantling the RMB's and feet.,Hazard
"2 number 40t excavators loading 2f material from the conveyor onto 30t ADT's, dumpers transporting loaded material to mound 3 for placement of waste layer",Hazard
Steel fixer carry on the installation of ECB 6 top U bar and liner wall starter bars. More breaks taken due to the hot weather ,Hazard
Steel fixer carry on the installation of ECB 6 top U bar and liner wall starter bars. More breaks taken due to the hot weather ,Hazard
Steel fixer carry on the installation of ECB 6 top U bar and liner wall starter bars. More breaks taken due to the hot weather ,Hazard
"BSL engineer confirms in email that BSL would only aim to install the TAM tonight, and not try to do any grouting operations.  So that the team can get themselves ready to start set up on the next hole RJB07",Hazard
11:15-11:30 Anchor 207 Set up by surveyors/Rig alignment,Hazard
Moving materials to worksite via track trolley down Line E,Hazard
Started breaking out concrete slab at bay 3 and 4,Hazard
15:00 - 16:00 - Stress UK - 1x Supervisor and 2x Operatives - Moving test jig to position N2 - Test region 2,Hazard
"Loading up and transporting Paralink rolls to mound1 from ID5.5 storage area, Lift supervisor/slinger lifting paralink rolls using 40t excavator to lift up rolls and place onto trailer. 2 number traffic marshals in place controlling traffic ",Hazard
EDD setup and start asbestos coring currently 1 machine in use ,Hazard
Hot works permit issued - for welder to make amendments to casings,Hazard
"Keltbray delay due to asbestos still being in pile mat area, pile mat works unable to commence, SCS team stood down",Hazard
"Ivor king attended the start of the shift at 07.30am. They began extracting augur and change zoom head to rock head for pile 103 and drill the point. They pitched and drove pile 103. Following this they extracted Augur and change zoom head to rock head for pile 104 and drill the point. They then pitched and drove pile 104 to formation. This was completed by 11.30. 

Following this , they were stood down due to waiting approval for the ALO plan for step 11 - they were stood down from 11.40 to 14:00. 
They then went on lunch at during this time. Following approval , they returned to work at 14:00 and they the began extracting the augur and change zoom head to rock head for pile 105 and drilled, pitched and drove the point. . Following lunch, they extracted the augur and change zoom head to rock head for pile 106. They began to drill the point to formation , this was completed and following this IK left site at 17 :00 
",Hazard
No Works - No P52 materials,Hazard
Formwork for Area 3 - Start of placement,Hazard
"LITTLEWOOODS 14 posts installed and concreted

",Hazard
Install casing for PBS 267. Dig to flood depth. ,Hazard
MJ Hughess MEWP moving to install the slings into the south gantry; King lift crane lifting the piece with 4 SCS slingers supporting the lift and the VHg operatives pointing the right direction to place the gantry piece and install bolts in each end of the gantry. (the gantry was a few mm away for the ideal location; the crane could not reach the end due to limited boom capacity. The plan is the relocate the crane in the morning and move the piece in the right position.,Hazard
#NAME?,Hazard
Fixing B4/B5 at Step/Panel 2 end of slab. Finish 17:00.,Hazard
Fixing B4/B5 at Step/Panel 2 end of slab. Finish 17:00.,Hazard
11:25 - 12:00 | Digging PEPW012 to flood depth (sand layer encountered),Hazard
"13:00 - 16:20 | Concreting PSB 117
 - Wagon 1, 13:17 - 13:26, Slump 590mm
 - Wagon 2, 13:28 - 13:35, Slump 560mm
 - Wagon 3, 13:50 - 14:00, Slump 570mm
 - Wagon 4, 14:06 - 14:14, Slump 620mm
 - Wagon 5, 14:42 - 14:50, Slump 590mm
 - Wagon 6, 15:07 - 15:16, Slump 580mm
 - Wagon 7, 15:30 - 15:40, Slump 580mm
 - Wagon 8, 16:15 - 16:20, Slump 590mm
Notes: All wagons had 7m3, Wagon 8 had 3.5m3 of concrete. 5 Cubes taken from wagon 7",Hazard
15:00 - 16:00: Kellys operatives wrapping pipes,Hazard
"08:00 - 16:30 - 
- Water management- Attendance to South Platform 
- 1 ALO Coordinators for ALO control and SIAN's lifting 
- 1 Ganger + 1 Multi Skilled op -  water management , moving pumps and brushing water from the pilecap
NWR ACM - Visiting temporary for reports",Hazard
Flat Iron,Hazard
Working platform made for Kilnbridge stich-drilling for panel 38,Hazard
10:00-13:00 Continue breaking out the central reservation ,Hazard
Afternoon break,Hazard
#NAME?,Hazard
Backfill PGTBBS003,Hazard
15:30 - 16:20: Lifting top casing and VacEx of PEPW034,Hazard
15:30 - 16:20: Lifting top casing and VacEx of PEPW034,Hazard
PF025 B5 Bottom Cage Delivery,Hazard
EDD not on site all week - demobilised until approved given to continue north of CH 1+053m (WPP is currently awaiting NR approval) ,Hazard
"08:00 - 16:00 - Carpenters installing panel 3/3 on South West wingwall.
",Hazard
SOS Briefing ,Hazard
0800 - 0900 Awaiting for Russell Minchin (SCS Plant dep't) to complete plant necessary plant assessment as stipulated on the back to work briefings.,Hazard
Striking shutter on P35 complete- all striking now complete,Hazard
Log 2 - 11:13 - Preparing shutters for W4S,Hazard
Wagon 3 arrived for testing (180mm),Hazard
Wagon 3 arrived for testing (180mm),Hazard
08:00 - 17:00 Continued steel fixing within Panel U upstand area and utilizing crane to lift in larger bars. Fixing upstand starter bars and top mat U bars. ,Hazard
Site Tidy up,Hazard
Site Tidy up,Hazard
End of works for the day ,Hazard
Cloudy conditions wind gusts are  up to 18mph temperature H12%c L6%c ,Hazard
Installation of anti-slip ply on concrete steps around site.,Hazard
Conveyor in operation today.,Hazard
"- Crane on Site Ready to lift Precast L-unit
- Installation of 4 x 2m and 2 x 1m Precast L-Units 
- Steel fixing MB3-14t
- Striking formwork in Muck Bin 2 ",Hazard
"- Crane on Site Ready to lift Precast L-unit
- Installation of 4 x 2m and 2 x 1m Precast L-Units 
- Steel fixing MB3-14t
- Striking formwork in Muck Bin 2 ",Hazard
"- Crane on Site Ready to lift Precast L-unit
- Installation of 4 x 2m and 2 x 1m Precast L-Units 
- Steel fixing MB3-14t
- Striking formwork in Muck Bin 2 ",Hazard
