PageEntryId,RagStatus,IssueReason
7378b571-12ca-4ff9-b139-00014584f468,1,15
6c15c82d-c86c-4832-859b-000992ceb2f3,0,13
4e9c74b7-6942-4543-ac8c-0020013013db,1,18
e9f4b39e-bac1-40f7-a5f8-0035a192de78,3,8
ff350a9e-99ef-4c35-ad9a-005d0882e675,3,1
bef0fda7-9f58-4987-bd84-006416664d53,2,19
c8455834-6401-469f-90e7-008b9eb942de,3,8
49fc492d-8cf3-42b0-a48c-00914eeae321,2,20
6e107092-a466-45ac-b91a-009216fdf9c3,3,18
a6c2065f-6057-4017-beba-009b23ebea9e,3,12
ef3ae108-4ca1-41cd-ae00-00a00c729bbe,2,0
3c971649-8bee-44f3-a6dc-00a159ee01a3,0,16
d80014b5-46e1-494d-8c3e-00b1983b9c89,1,11
348eddc5-8f3d-4f94-b429-00b399320b2a,3,17
7c6dbc87-7667-487c-9b77-00d0241aaaae,1,7
afef5827-b81c-4109-8365-00d6e0ee4351,3,1
a3290e5b-d548-4024-8d21-00d9b0c08a4b,1,7
3d96a0fc-7426-44b1-b5cb-00f811ba5a83,3,19
ad298edf-2d3a-44d4-958e-00fd7a6e45e4,3,1
bae746a4-adae-4d99-b5d7-01036ff91f2d,1,17
7cd9d0d0-2893-4805-922f-011f243d92be,2,15
a7083cab-ebb0-421c-974c-0122a0b31d74,0,5
a9e3c08c-e1dd-4014-88bc-013d82401a47,0,5
7ddcc877-372d-4cb5-8dc2-014e156f0c57,4,17
a3d503a3-9256-4ff7-ab9f-0174f2470676,3,5
8b7d8283-047d-4b20-92f4-01750dad7f1c,2,20
fde55861-1e2d-4f09-b488-017bbc059d6e,1,2
5d0f9869-3cad-4a81-8a8e-01805deb76f4,1,12
1202992a-0ba0-4f99-b4f4-01844be00440,3,12
b67e0f61-6681-47ce-8ada-018fed689f0a,3,19
5bba86c2-dbb1-427e-951c-019fc21dfd7b,1,4
76b99f2c-074c-4fe2-8ee3-01b98a0bb663,2,2
1b2c4823-c470-4bb2-923a-01c1234ebad2,0,0
cb0be83a-1ad2-4744-9763-01c7d260eec6,0,2
c4dc9ddd-5aa8-4c3a-bc5b-01cf49e18833,3,11
d4e2f1ad-7006-4bd8-ab27-01fb17faddab,3,5
a78aeab3-99d3-45e1-8a6c-020e9bfd8600,2,2
bfaf1069-5abf-4e4f-8812-02443a322317,3,15
1e5bb1aa-ac76-460b-801f-02511e0a6c92,3,13
2566218c-f739-4b63-a721-026744961b9d,3,15
82ef8098-bcf6-4712-8b87-02731e5c7c4d,2,5
3b35e9bb-f847-4be5-bdf4-02756ffe6671,3,2
a0f7cdd4-2469-4197-bc1e-027d5b81b83f,0,0
514fac76-93c1-448b-bed7-029248fb43be,0,11
ead99106-a50b-4a6c-93f5-029cc2b81867,4,2
80a9862e-afe1-4c00-99e1-029d5535266d,3,15
27ef7087-45a2-488e-aa57-02b828b8f51e,0,19
e415d30c-105b-4830-9e69-02b96c28e82c,0,0
9dba06ab-9043-4862-bcda-02cbc7c7bc5c,1,15
9c1b3e97-7a2f-4836-bab6-02cdbe3989fa,3,20
ad54ea38-3fc5-469b-94b6-02df9becfb89,2,0
4baa0e69-ebd8-4d74-989a-02dff19e76af,1,5
50482f33-a383-48fe-b2f9-02e40054465f,2,16
b7057275-e345-4174-afa3-02fbfa706789,3,11
59be747e-cfeb-4005-8093-03041acb10a2,1,4
c7c93096-b617-4906-b635-0326ef0948e3,2,19
b92a1de5-1fd9-436a-9ea3-032fd0e20522,0,0
6e955848-e0c0-44df-b9a8-033372e24a9e,1,17
106e8df4-550e-4685-b40e-03499f0a89f8,1,1
3874b43c-069d-41fb-83bd-034d1e3f2c36,3,14
89d5a3ea-41a9-437d-8849-03582a9909a9,2,0
80fda2e3-72ee-4f31-8e3f-036d09998f8f,2,5
c0f4c472-0575-4c28-95f2-03880039d05c,3,13
2642d8a5-f744-4d85-95da-039cbda2075a,1,0
efb597d9-e26c-4426-9b18-03a2af368496,3,5
75ccd6af-d161-4cad-81ca-03c751b61043,3,7
1950d4f7-3a73-4005-b647-03d99e850d8e,3,15
126d8ffa-966b-455b-bf5e-03f4cfc1c5d2,1,0
79551e9a-efc2-411b-a06f-03fb05fd00d2,3,8
66a3d280-3df8-44c4-b426-040e5fda94fa,2,18
