PageEntryId,ObservationTime,WeatherDescription,CloudCover,Temperature,FeelsLike,Humidity,Precipitation,Pressure,UVIndex,Visibility,WindSpeed
6f621ca5-9e78-4dad-a1f3-841d3c9e09d4,2023-04-11 08:00:00.000,Sunny,18.00,8.00,5.00,71.00,0.00,1014.00,3,10.00,19.00
9cf5e8e7-a697-4604-8558-ab77ba7c2d56,2022-08-03 07:00:00.000,Sunny,39.00,22.00,22.00,74.00,0.00,1014.00,6,10.00,15.00
4d730a53-d672-4180-9642-c787336f0433,2023-03-13 07:00:00.000,Patchy rain possible,100.00,12.00,9.00,90.00,0.10,991.00,3,10.00,32.00
5f74e95d-f3c4-41d5-a384-ec8306ad3e69,2022-02-16 17:00:00.000,Partly cloudy,25.00,8.00,3.00,71.00,0.00,973.00,2,10.00,43.00
af298410-6997-4367-a91d-dc6760a27aa6,2022-03-03 12:00:00.000,Cloudy,63.00,8.00,7.00,67.00,0.00,1015.00,2,10.00,9.00
2177201b-5a5e-4baa-9de7-a2663fa1d0ce,2022-02-15 07:00:00.000,Cloudy,71.00,4.00,0.00,84.00,0.00,1013.00,1,10.00,17.00
79d50a99-6b4d-489c-99f1-b17f6c7794e1,2022-09-26 08:00:00.000,Patchy light rain,80.00,12.00,10.00,89.00,0.10,1002.00,3,9.00,17.00
c4b1eaed-ec99-4c8a-838a-4383d421e7b5,2022-08-12 13:00:00.000,Sunny,2.00,35.00,33.00,21.00,0.00,1017.00,8,10.00,13.00
8c3f9e31-8b06-4b35-93b3-088e196897a1,2022-06-06 07:00:00.000,Overcast,100.00,10.00,9.00,92.00,0.00,1016.00,3,10.00,9.00
098da7fd-ce78-45c5-8ac2-a08c0b19fa83,2021-10-21 14:00:00.000,Sunny,23.00,10.00,8.00,49.00,0.00,1012.00,4,10.00,21.00
ea5c5b63-94a5-42f8-8100-df8c124c318f,2022-06-01 18:00:00.000,Clear,21.00,18.00,18.00,50.00,0.00,1020.00,1,10.00,4.00
4d730a53-d672-4180-9642-c787336f0433,2023-03-13 07:00:00.000,Patchy rain possible,100.00,12.00,9.00,90.00,0.10,991.00,3,10.00,32.00
098da7fd-ce78-45c5-8ac2-a08c0b19fa83,2021-10-21 14:00:00.000,Sunny,23.00,10.00,8.00,49.00,0.00,1012.00,4,10.00,21.00
7ea3e33e-5877-4143-9876-49a30c789962,2022-04-07 13:00:00.000,Cloudy,60.00,10.00,7.00,50.00,0.00,997.00,3,10.00,25.00
2c26982a-5c99-418c-8473-a536ebce852e,2022-02-17 15:00:00.000,Patchy rain possible,76.00,8.00,5.00,71.00,0.20,1014.00,2,9.00,27.00
33d05a90-f35b-4a77-ba44-b98926152402,2022-08-13 07:00:00.000,Sunny,3.00,23.00,23.00,50.00,0.00,1015.00,6,10.00,12.00
20f99f2b-b5d5-4dd9-ae54-d4d26d3d83b5,2022-02-18 08:00:00.000,Moderate rain,100.00,7.00,3.00,93.00,1.00,985.00,2,7.00,24.00
8c3f9e31-8b06-4b35-93b3-088e196897a1,2022-06-06 07:00:00.000,Overcast,100.00,10.00,9.00,92.00,0.00,1016.00,3,10.00,9.00
59ce92f3-5d7a-4b3c-bd75-aa82dda0d3db,2022-02-16 12:00:00.000,Overcast,100.00,13.00,10.00,90.00,0.00,1003.00,3,10.00,22.00
dd5389f2-8df8-4109-9bd3-0f87feb5461c,2022-12-19 08:00:00.000,Light rain,100.00,11.00,8.00,92.00,0.60,1007.00,3,9.00,30.00
81de98bb-8142-4d84-9e5c-667de5bedcbb,2022-02-21 16:00:00.000,Partly cloudy,75.00,11.00,8.00,54.00,0.00,1015.00,4,10.00,28.00
6dec4c41-d0b8-4410-b549-64a009fa5d9a,2022-04-01 10:00:00.000,Partly cloudy,43.00,6.00,1.00,51.00,0.00,1016.00,3,10.00,27.00
966eb495-dc63-4a49-8db6-2405de5084fa,2022-01-31 10:00:00.000,Partly cloudy,29.00,7.00,2.00,63.00,0.00,1022.00,3,10.00,29.00
2ea3f584-9bb9-41aa-aad7-d5c43c8a4c0f,2022-02-24 08:00:00.000,Partly cloudy,50.00,6.00,2.00,87.00,1.90,1006.00,2,10.00,20.00
9a66bed5-4d89-4ff2-9296-20bd1ef03c73,2022-01-05 15:00:00.000,Sunny,23.00,7.00,5.00,56.00,0.00,1023.00,3,10.00,14.00
6fb499f8-5544-4248-b238-07528d21d501,2022-02-15 17:00:00.000,Overcast,100.00,9.00,6.00,93.00,2.80,1004.00,2,10.00,19.00
3953b5a3-a50b-4c3e-b319-326dae1387ae,2022-03-31 10:00:00.000,Partly cloudy,65.00,3.00,-2.00,80.00,0.00,1008.00,2,10.00,26.00
d1376b96-5514-4e4b-befc-2f50cd68ebff,2023-11-13 07:00:00.000,Light rain shower,100.00,14.00,12.00,93.00,0.30,995.00,3,10.00,28.00
10eca05f-27e5-419f-8afa-3e8e41db4067,2022-12-19 06:00:00.000,Moderate rain,100.00,11.00,8.00,93.00,1.20,1007.00,3,7.00,26.00
106e8df4-550e-4685-b40e-03499f0a89f8,2022-02-22 16:00:00.000,Overcast,94.00,12.00,9.00,75.00,0.00,1015.00,3,10.00,24.00
df66be64-acb9-48e7-875c-d20a5d13eda3,2022-02-17 08:00:00.000,Partly cloudy,50.00,7.00,2.00,54.00,0.00,1011.00,3,10.00,30.00
6b938013-56ea-4090-92c7-243fe859a6a1,2022-02-04 08:00:00.000,Light drizzle,91.00,7.00,3.00,82.00,0.10,1015.00,2,5.00,18.00
cd9fb490-9dea-49ac-b026-d9073b5aae4b,2022-07-19 10:00:00.000,Sunny,0.00,37.00,37.00,16.00,0.00,1012.00,9,10.00,22.00
ed5b7c6e-fc1a-4eae-a764-45cda05139d8,2022-02-18 13:00:00.000,Partly cloudy,41.00,10.00,5.00,61.00,0.00,991.00,3,10.00,58.00
9ae4c29c-207b-41bd-ba89-84678b6bda59,2022-11-03 08:00:00.000,Overcast,100.00,10.00,9.00,77.00,0.00,1007.00,3,10.00,8.00
697f88b0-6346-4aea-bb63-93902fa40ab5,2022-04-06 07:00:00.000,Overcast,92.00,9.00,6.00,74.00,0.00,999.00,2,10.00,22.00
33d6185b-8986-48be-9601-45c306db8d52,2022-02-24 13:00:00.000,Sunny,32.00,7.00,3.00,57.00,0.00,1014.00,3,10.00,28.00
df21923d-2b9e-4fbc-a9fd-e6d079688ff0,2023-01-17 08:00:00.000,Sunny,2.00,0.00,-5.00,70.00,0.00,989.00,2,10.00,17.00
6b938013-56ea-4090-92c7-243fe859a6a1,2022-02-04 08:00:00.000,Light drizzle,91.00,7.00,3.00,82.00,0.10,1015.00,2,5.00,18.00
a971bc36-b6ef-465f-b98e-6344bf41f883,2022-09-30 08:00:00.000,Sunny,6.00,10.00,9.00,76.00,0.00,1010.00,4,10.00,8.00
4e50519f-179e-42a7-944f-8975292b8054,2021-10-21 08:00:00.000,Patchy light drizzle,80.00,8.00,5.00,72.00,0.20,1005.00,2,7.00,20.00
57f70b5e-9e95-4107-b6d7-3a38b98ec315,2022-02-17 14:00:00.000,Patchy rain possible,84.00,8.00,4.00,76.00,0.20,1013.00,2,9.00,26.00
0f2f8800-87c9-47d8-9013-adc3e43d281c,2022-03-16 09:00:00.000,Cloudy,70.00,11.00,9.00,88.00,0.00,1017.00,3,10.00,13.00
