WeatherDescription,CloudCover,Temperature,FeelsLike,Humidity,Precipitation,Pressure,UVIndex,Visibility,WindSpeed,Reason
Partly cloudy,47.00,12.00,10.00,72.00,0.00,1017.00,4,10.00,17.00,Environmental
Sunny,21.00,25.00,26.00,43.00,0.00,1021.00,7,10.00,17.00,Materials
Light rain shower,64.00,16.00,16.00,82.00,0.10,1006.00,4,10.00,14.00,Weather
Overcast,79.00,11.00,8.00,84.00,0.00,1021.00,3,10.00,25.00,Supplier Performance
Partly cloudy,57.00,12.00,9.00,79.00,0.00,1021.00,4,10.00,26.00,Supplier Performance
Partly cloudy,75.00,14.00,12.00,63.00,0.00,1020.00,4,10.00,31.00,Supplier Performance
Sunny,2.00,10.00,9.00,80.00,0.00,1037.00,3,10.00,6.00,Subcontractor Planning
Sunny,2.00,10.00,9.00,80.00,0.00,1037.00,3,10.00,6.00,Subcontractor Planning
Sunny,2.00,10.00,9.00,80.00,0.00,1037.00,3,10.00,6.00,Subcontractor Planning
Sunny,2.00,10.00,9.00,80.00,0.00,1037.00,3,10.00,6.00,Subcontractor Planning
Cloudy,78.00,19.00,19.00,63.00,0.00,1009.00,4,10.00,22.00,Delay By Company
Cloudy,78.00,19.00,19.00,63.00,0.00,1009.00,4,10.00,22.00,Delay By Company
Partly cloudy,31.00,18.00,18.00,67.00,0.00,1015.00,5,10.00,18.00,Safety
Sunny,0.00,5.00,3.00,76.00,0.00,1031.00,3,10.00,10.00,Subcontractor Interface
Light rain,100.00,6.00,2.00,87.00,0.30,993.00,2,7.00,27.00,Resource
Overcast,100.00,11.00,8.00,84.00,0.00,999.00,3,10.00,24.00,Weather
Sunny,7.00,29.00,29.00,33.00,0.00,1022.00,7,10.00,4.00,Ground Condition
Sunny,7.00,29.00,29.00,33.00,0.00,1022.00,7,10.00,4.00,Ground Condition
Sunny,0.00,28.00,27.00,33.00,0.00,1021.00,7,10.00,9.00,Ground Condition
Sunny,5.00,4.00,1.00,69.00,0.00,1017.00,2,10.00,13.00,Supplier Performance
Overcast,100.00,10.00,7.00,85.00,0.00,1004.00,3,10.00,25.00,Plant
Partly cloudy,32.00,15.00,15.00,45.00,0.00,1026.00,4,10.00,6.00,Delay By Others
Cloudy,67.00,7.00,3.00,68.00,0.00,1008.00,2,10.00,36.00,Delay By Others
Sunny,15.00,3.00,1.00,85.00,0.00,1034.00,2,10.00,7.00,Subcontractor Planning
Overcast,100.00,10.00,7.00,82.00,0.00,1008.00,3,10.00,21.00,Subcontractor Performance
Rain,0.00,6.00,2.00,75.00,0.00,1013.00,2,10.00,19.00,Safety
Light rain shower,91.00,20.00,20.00,67.00,0.60,1009.00,5,10.00,19.00,Safety
Sunny,3.00,17.00,17.00,43.00,0.00,1028.00,5,10.00,15.00,Subcontractor Performance
Sunny,0.00,17.00,17.00,32.00,0.00,1027.00,5,10.00,17.00,Subcontractor Performance
Sunny,3.00,17.00,17.00,43.00,0.00,1028.00,5,10.00,15.00,Subcontractor Performance
Sunny,3.00,17.00,17.00,43.00,0.00,1028.00,5,10.00,15.00,Subcontractor Performance
Sunny,28.00,14.00,14.00,64.00,0.00,1022.00,4,10.00,15.00,Delay By Others
Overcast,100.00,7.00,7.00,76.00,0.00,1021.00,2,10.00,4.00,Subcontractor Performance
Partly cloudy,75.00,20.00,20.00,68.00,0.00,1014.00,4,10.00,22.00,Plant
Overcast,94.00,22.00,22.00,56.00,0.00,1015.00,5,10.00,19.00,Environmental
Patchy rain possible,81.00,18.00,18.00,77.00,0.00,1015.00,4,10.00,9.00,Plant
Sunny,0.00,20.00,20.00,40.00,0.00,1025.00,6,10.00,15.00,Delay By Others
Sunny,0.00,20.00,20.00,40.00,0.00,1025.00,6,10.00,15.00,Delay By Others
Partly cloudy,46.00,17.00,17.00,71.00,0.00,1014.00,5,10.00,8.00,Subcontractor Performance
Light drizzle,100.00,9.00,7.00,98.00,0.20,1010.00,2,2.00,13.00,Subcontractor Performance
Light drizzle,100.00,9.00,7.00,98.00,0.20,1010.00,2,2.00,13.00,Subcontractor Performance
Light rain shower,100.00,10.00,7.00,85.00,0.20,961.00,3,10.00,28.00,Plant
Light rain shower,100.00,11.00,8.00,84.00,0.50,960.00,3,10.00,31.00,Plant
Sunny,0.00,31.00,32.00,41.00,0.00,1017.00,8,10.00,20.00,Plant
Sunny,0.00,28.00,27.00,37.00,0.00,1019.00,7,10.00,20.00,Plant
Overcast,100.00,4.00,1.00,84.00,0.00,1007.00,1,10.00,14.00,Subcontractor Planning
Sunny,6.00,17.00,16.00,60.00,0.00,1022.00,5,10.00,16.00,Subcontractor Interface
Partly cloudy,75.00,17.00,17.00,63.00,0.00,1022.00,5,10.00,22.00,Subcontractor Interface
Light rain,100.00,21.00,21.00,40.00,0.60,1014.00,5,9.00,19.00,Supplier Performance
Light rain,100.00,21.00,21.00,40.00,0.60,1014.00,5,9.00,19.00,Supplier Performance
Patchy light drizzle,80.00,11.00,6.00,58.00,0.30,992.00,3,5.00,50.00,Resource
Overcast,94.00,12.00,9.00,75.00,0.00,1015.00,3,10.00,24.00,Weather
