index,id,name,lat,lon,capacity,hr,availableBikes
0,1,"River Street , Clerkenwell",51.52916347,-0.109970527,18,0,3.0
1,1,"River Street , Clerkenwell",51.52916347,-0.109970527,19,0,
2,2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,37,0,2.0
3,3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,32,0,4.0
4,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,22,0,
5,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,23,0,4.0
6,5,"Sedding Street, Sloane Square",51.49313,-0.156876,27,0,3.0
7,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,17,0,
8,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,18,0,6.666666666666667
9,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,13,0,
10,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,14,0,
11,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,15,0,3.0
12,8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,38,0,34.833333333333336
13,8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,39,0,
14,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,17,0,2.0
15,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,18,0,
16,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,19,0,
17,10,"Park Street, Bankside",51.50597426,-0.092754157,18,0,13.0
18,11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24,0,0.0
19,12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,49,0,16.5
20,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,20,0,3.0
21,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21,0,
22,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,42,0,
23,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,43,0,
24,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,44,0,
25,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,45,0,21.166666666666668
26,15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,26,0,12.833333333333334
27,16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,20,0,
28,16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,21,0,1.5
29,17,"Hatton Wall, Holborn",51.5216612,-0.109006325,23,0,
30,17,"Hatton Wall, Holborn",51.5216612,-0.109006325,24,0,
31,17,"Hatton Wall, Holborn",51.5216612,-0.109006325,25,0,11.0
32,18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,24,0,
33,18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,25,0,
34,18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,26,0,0.0
35,19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,30,0,15.333333333333334
36,20,"Drummond Street , Euston",51.52773634,-0.135273468,28,0,22.0
37,21,"Hampstead Road (Cartmel), Euston",51.53007835,-0.13884627,25,0,19.0
38,22,"Northington Street , Holborn",51.5222641,-0.114079481,19,0,9.0
39,23,"Red Lion Square, Holborn",51.51943538,-0.119123345,16,0,1.0
40,24,"British Museum, Bloomsbury",51.51908011,-0.124678402,34,0,1.0
41,24,"British Museum, Bloomsbury",51.51908011,-0.124678402,35,0,
42,25,"Doric Way , Somers Town",51.5288338,-0.132250369,49,0,
43,25,"Doric Way , Somers Town",51.5288338,-0.132250369,50,0,15.0
44,26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,21,0,5.0
45,27,"Bouverie Street, Temple",51.51382102,-0.107927706,33,0,5.0
46,28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,17,0,0.5
47,28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,18,0,
48,28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,19,0,
49,29,"Hereford Road, Bayswater",51.513735,-0.193487,22,0,8.0
50,30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,24,0,15.0
51,31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,35,0,21.0
52,31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,36,0,
53,32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,41,0,
54,32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,42,0,24.5
55,32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,43,0,
56,33,"Central House, Aldgate",51.5156,-0.070056,18,0,3.1666666666666665
57,34,"Pancras Road, King's Cross",51.5341235,-0.129386874,16,0,8.0
58,36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,28,0,27.0
59,37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,17,0,3.0
60,38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,15,0,
61,38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,16,0,
62,38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,17,0,0.0
63,39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,40,0,
64,39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,41,0,34.166666666666664
65,40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,16,0,7.0
66,41,"Sun Street, Liverpool Street",51.52001715,-0.083911168,24,0,2.0
67,42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,27,0,
68,42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,28,0,19.5
69,43,"Crawford Street, Marylebone",51.52026,-0.157183945,16,0,
70,43,"Crawford Street, Marylebone",51.52026,-0.157183945,17,0,8.0
71,44,"Bruton Street, Mayfair",51.51073687,-0.144165239,21,0,15.0
72,45,"Boston Place, Marylebone",51.522511,-0.162298,24,0,
73,45,"Boston Place, Marylebone",51.522511,-0.162298,25,0,0.0
74,46,"Nesham Street, Wapping",51.507131,-0.06691,15,0,
75,46,"Nesham Street, Wapping",51.507131,-0.06691,16,0,15.0
76,47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,17,0,15.666666666666666
77,47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,18,0,
78,47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,19,0,
79,48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,24,0,
80,48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,25,0,9.833333333333334
81,49,"Curzon Street, Mayfair",51.50706909,-0.145904427,16,0,3.0
82,50,"East Road, Hoxton",51.52867339,-0.087459376,27,0,7.0
83,51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,28,0,
84,51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,29,0,6.0
85,52,"Roscoe Street, St. Luke's",51.52295439,-0.094934859,18,0,11.0
86,53,"Grafton Street, Mayfair",51.5099923,-0.143495266,18,0,16.0
87,54,"Golden Lane, Barbican",51.52174785,-0.094475072,27,0,5.0
88,55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,31,0,
89,55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,32,0,0.0
90,56,"Paddington Street, Marylebone",51.52058381,-0.154701411,15,0,8.0
91,57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,32,0,2.0
92,58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,18,0,0.3333333333333333
93,58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,19,0,
94,58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,20,0,
95,60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,16,0,
96,60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,17,0,
97,60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,18,0,7.0
98,61,"Great Dover Street, The Borough",51.49738251,-0.089446947,33,0,33.0
99,62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,24,0,21.0
100,63,"Murray Grove , Hoxton",51.53089041,-0.089782579,24,0,18.166666666666668
101,63,"Murray Grove , Hoxton",51.53089041,-0.089782579,27,0,
102,64,"William IV Street, Strand",51.50946212,-0.124749274,25,0,
103,64,"William IV Street, Strand",51.50946212,-0.124749274,26,0,23.333333333333332
104,65,"Gower Place , Euston",51.52522753,-0.13518856,16,0,2.0
105,66,"Holborn Circus, Holborn",51.51795029,-0.108657431,37,0,
