Id,Date and Time,Location,Category,Admin close out comment,Sentiment
EE36CD18-C241-4D99-8AE6-F742E338F762,2023-07-31 08:27:45.673,"51.84798068852703, 0.7235662347445372",Environment - Pollution - Water course,NULL,Good Practice
82762245-A1A0-4B6F-A398-6173B6753D35,2023-07-31 08:29:37.313,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),NULL,Good Practice
02DB09EF-259F-42AE-8B6D-82CF57F09F97,2023-07-31 08:36:16.013,"51.84798068852703, 0.7235662347445372",Environment - Resources (energy/water/material),NULL,Good Practice
D286127D-3CDB-4139-844A-2C8F83EE6DC1,2023-07-31 08:40:48.107,"51.84798068852703, 0.7235662347445372",Environment - Ecology and Vegetation,NULL,Good Practice
CD5A0B06-0809-46D8-AA07-E5CEBA4E1637,2023-07-31 14:12:05.247,NULL,Safety - Excavations & Confined Spaces,NULL,Hazard
66E72903-B1F2-4275-9D16-0E3D8B98A257,2023-08-01 07:25:42.810,"51.84767318962858, 0.7351529179868921",Environment - Archaeology / Heritage,NULL,Hazard
114B79AE-240E-4A27-81AB-AA274970B0BB,2023-07-04 08:15:38.277,"51.8429776, 0.7198141",Health - Other Health Issues,Been reviewed by SHE team and has been determined that a specific fire extinguisher is not required in that location. Others are located nearby.,Hazard
55646AE9-EED9-4343-A362-0C87F314A562,2023-07-05 15:59:39.777,"51.84649105610946, 0.7229653946176606","Safety - Plant, Equipment & Tools",Impact driver with no ball on the socket was sent back to Speedy a replacement is being sent,Good Practice
DF6557EF-54D9-498B-9918-E35FA886D0C5,2023-07-07 12:50:14.800,NULL,Safety - Housekeeping,Alarms tested and records maintained by office management via third party. They can chase records if required. Fire extinguisher in kitchen indate until Feb 24.,Good Practice
FE2E0A64-8FBB-4E1A-8388-0D2E95274F00,2023-07-21 07:37:45.497,"51.846805994459395, 0.7244328896067476",Safety - PPE,Changing room cleared of PPE and new name tags made for lockers and coat pegs,Hazard
